Teff logg R Av
3.178612747842454155e+03 4.533552035108390221e+00 5.400714181013337445e-01 1.856563265858178102e+00
3.306522193135903763e+03 4.600517378727936091e+00 5.189152350291038607e-01 1.836620099517062510e+00
3.215001328644834757e+03 4.764841331483189890e+00 5.464904938559408398e-01 1.914858864328589316e+00
3.246837800561020231e+03 4.749195892569213484e+00 5.273833148174530416e-01 1.753008700345899396e+00
3.302921246749805050e+03 4.533792354358509691e+00 5.120855627939663313e-01 1.651823276260566464e+00
3.304946018993009602e+03 4.717805468730585261e+00 5.289626316044073739e-01 1.906549175884073577e+00
3.334782445785426717e+03 4.402037105666684269e+00 5.049192915102843626e-01 1.658452380868199239e+00
3.246556636207114025e+03 4.670890417393404270e+00 5.280660053204966342e-01 1.745346739305090544e+00
3.273545314505292026e+03 4.609248645885993589e+00 5.228735212729567206e-01 1.749905983421085276e+00
3.216239726773735129e+03 4.702951767933871707e+00 5.410624355194590951e-01 1.892087716892833171e+00
3.273515172774398707e+03 4.723302924232877231e+00 5.274010802950351851e-01 1.799184185551994553e+00
3.272112490554824035e+03 4.647069138201617378e+00 5.300789232117099070e-01 1.911632895408553079e+00
3.220736526194931685e+03 5.078946584799322039e+00 5.359347678593202602e-01 1.766057849135014735e+00
3.271510435381774641e+03 4.639481970032877989e+00 5.229330416731977627e-01 1.777661783980319710e+00
3.227875544651530618e+03 4.763895791653048661e+00 5.403466671126921916e-01 1.995174049903569502e+00
3.267229603535218757e+03 4.801519062497427548e+00 5.292556320525665381e-01 1.814358422236427959e+00
3.365354022772342432e+03 4.945149642735001017e+00 5.201788562486688861e-01 1.976286303543737244e+00
3.241511699137258802e+03 4.821247493366891845e+00 5.391825250749483489e-01 1.879519975953774180e+00
3.264620966242042414e+03 4.627304465532234623e+00 5.276893888568501279e-01 1.703131326153922487e+00
3.263731482248509565e+03 4.830837769940749205e+00 5.285816343114526639e-01 1.817216348563285955e+00
3.189737615993180953e+03 4.868190930403791583e+00 5.408865743150433891e-01 1.839975314935693662e+00
3.267109514529573062e+03 5.231202801636655408e+00 5.340904698794008976e-01 1.829244464633172473e+00
3.188569160889707291e+03 4.831697568242965701e+00 5.494817179127773343e-01 1.888290231450661105e+00
3.188569160889707291e+03 4.831697568242965701e+00 5.494817179127773343e-01 1.888290231450661105e+00
3.282178844328568175e+03 4.373975426869810335e+00 5.148640824281582873e-01 1.598842513231207851e+00
3.286633718403946659e+03 4.662310948881824402e+00 5.325757214976734044e-01 1.903043334266349973e+00
3.237311716730923308e+03 4.556302000705554356e+00 5.333308016471375312e-01 1.786516503045862736e+00
3.342994032973397680e+03 5.061668648076557808e+00 5.167798738072089115e-01 1.810844822794029696e+00
3.247882759211008306e+03 4.498395526518526921e+00 5.306027445537305764e-01 1.839786179565773949e+00
