weight logl Teff logg R Av
0.000000000000000000e+00 -1.419639960423687994e+08 3.927089990867563301e+03 2.705509659253573229e+00 4.595629987232648261e+00 7.653686437541107335e-02
0.000000000000000000e+00 -1.250782762878942788e+08 3.912216867425867349e+03 3.672617476508913015e+00 4.476597138911799334e+00 1.845596958322642811e-01
0.000000000000000000e+00 -1.237347575494434237e+08 3.909841949630076670e+03 3.639613189733089893e+00 4.885146395815812781e+00 1.265686333424288490e+00
0.000000000000000000e+00 -1.191481491238816977e+08 3.661345414935037752e+03 4.327808194497427152e+00 4.751867038206536442e+00 8.078407552229438515e-02
0.000000000000000000e+00 -1.167297239898308665e+08 3.947686227435332057e+03 5.082349032789561072e+00 4.787408024503129411e+00 1.053551487551127153e+00
0.000000000000000000e+00 -1.098508842254834175e+08 3.991436118698838072e+03 3.395079085536625740e+00 4.732570721742635378e+00 1.490082611207386165e+00
0.000000000000000000e+00 -1.058963186557152569e+08 3.979501423655509370e+03 3.752823428273029727e+00 4.942824635605800765e+00 2.165633606206496253e+00
0.000000000000000000e+00 -1.049029693445929736e+08 3.900520654590291997e+03 4.195798940890984596e+00 4.908488530230910030e+00 1.676029855001075042e+00
0.000000000000000000e+00 -1.001695255519264489e+08 3.518980053643481369e+03 2.859864625875677913e+00 4.925009382168578753e+00 8.301227193245019897e-01
0.000000000000000000e+00 -9.942301181243084371e+07 3.783438204682402557e+03 2.601927346957685128e+00 4.554204166501098605e+00 5.864018176951762973e-01
0.000000000000000000e+00 -9.886076579052484035e+07 3.798918265751787658e+03 3.939315336680571988e+00 4.463491372481948716e+00 4.268958778970127765e-01
0.000000000000000000e+00 -9.116796794665174186e+07 3.826318259766271240e+03 3.682056730415288470e+00 4.339701002549209541e+00 4.517712078651775487e-01
0.000000000000000000e+00 -9.007228123259635270e+07 3.615340679664998788e+03 3.324926085531778153e+00 4.934661945928250582e+00 1.451243361722723835e+00
0.000000000000000000e+00 -8.228327888484607637e+07 3.414629484942959152e+03 3.469764897810855508e+00 4.586516448532564461e+00 5.193649478225981220e-02
0.000000000000000000e+00 -8.109021821935145557e+07 3.675906814969818697e+03 4.115908691577599754e+00 4.837661752434339490e+00 1.416892761713719473e+00
0.000000000000000000e+00 -8.058427025340116024e+07 3.572073144209456132e+03 5.181311068341648784e+00 4.721259632683280749e+00 6.217677335637344926e-01
0.000000000000000000e+00 -7.825568639578296244e+07 3.537229931699048393e+03 2.661640927829003633e+00 4.737250110915779189e+00 1.206251411568972198e+00
0.000000000000000000e+00 -7.590893692341698706e+07 3.894437645536690979e+03 3.253651026680447700e+00 4.051773529331921253e+00 3.863069414490899467e-01
0.000000000000000000e+00 -7.243209310387046635e+07 3.943538638285529487e+03 2.854204656990416034e+00 4.252349329112546705e+00 1.234442613955667456e+00
0.000000000000000000e+00 -7.183585813619019091e+07 3.876308809851026126e+03 3.425534897844885851e+00 4.247170867650143400e+00 1.109853620322602819e+00
0.000000000000000000e+00 -6.896885095029227436e+07 3.853710245095644495e+03 4.039532450076097625e+00 4.506143024664328145e+00 1.809669210050302457e+00
0.000000000000000000e+00 -6.745272178773988783e+07 3.996319729218596876e+03 4.944798770680360889e+00 4.268692169311648854e+00 1.470283104819314790e+00
0.000000000000000000e+00 -6.709635212086915225e+07 3.621997169406988178e+03 4.604559913705662311e+00 4.812745383847579994e+00 1.502669877521974229e+00
0.000000000000000000e+00 -6.704639278789804876e+07 3.685464002440348850e+03 3.954344268540446183e+00 4.919217343859984659e+00 2.389629146684267624e+00
0.000000000000000000e+00 -6.704279881822677702e+07 3.876836979445132783e+03 3.040496375920379801e+00 4.619496522177346520e+00 2.513803399693196994e+00
0.000000000000000000e+00 -6.685810790110278130e+07 3.893485221769011332e+03 3.986316497441089624e+00 4.925953249201214135e+00 3.375895502263403181e+00
0.000000000000000000e+00 -6.649986238296196610e+07 3.834327247093220194e+03 3.222971301128678245e+00 4.928983140918881567e+00 3.397903674111017125e+00
0.000000000000000000e+00 -6.303190369147040695e+07 3.971329631377721853e+03 3.566327996908802866e+00 4.672436079392443986e+00 3.215630277887543187e+00
0.000000000000000000e+00 -5.879822666985484958e+07 3.949256975448740832e+03 2.769863910925605133e+00 3.797960906405045023e+00 4.715894047734447980e-01
0.000000000000000000e+00 -5.830093992968335003e+07 3.663325701993550865e+03 3.251584785737441141e+00 4.060531329951261981e+00 4.348253921349232165e-01
0.000000000000000000e+00 -5.753487702367865294e+07 3.947265678387691423e+03 5.249770224812326802e+00 4.425422733689368116e+00 2.043076414102287242e+00
0.000000000000000000e+00 -5.741131641501694918e+07 3.710708241949575950e+03 2.620836979974364933e+00 4.736347220326002194e+00 2.884748679649992820e+00
0.000000000000000000e+00 -5.736213907121063769e+07 3.845398492700760471e+03 2.689618218885477585e+00 4.684913251041846749e+00 3.164036224481424853e+00
0.000000000000000000e+00 -5.685179650187091529e+07 2.950406892331345261e+03 2.983816217272657667e+00 4.905545822141265333e+00 3.547994843166585310e-01
0.000000000000000000e+00 -5.653673875619271398e+07 3.701379254884781403e+03 4.610395680490364079e+00 4.950597958451582237e+00 2.690913926157234570e+00
0.000000000000000000e+00 -5.502913738808431476e+07 3.091187773121388545e+03 2.981310614253160907e+00 4.509739827715010030e+00 2.199757010722058759e-02
0.000000000000000000e+00 -5.419722200927098095e+07 3.185783101139670180e+03 3.245243229896405346e+00 4.557149591072700900e+00 3.572902149464973753e-01
0.000000000000000000e+00 -5.326586775796418637e+07 3.513993291487010083e+03 5.359971994686065777e+00 4.780121861930374472e+00 1.561332480956438840e+00
0.000000000000000000e+00 -5.320954496609068662e+07 3.543085351029752019e+03 2.555045304797829875e+00 4.475600283107135979e+00 1.796865416029509888e+00
0.000000000000000000e+00 -5.155951163483288884e+07 3.896649748697281211e+03 4.833845584126923001e+00 4.117628968791296806e+00 1.459543127692595643e+00
0.000000000000000000e+00 -5.117043066392406076e+07 3.650772519260779518e+03 3.172558582131344007e+00 4.471429627791549066e+00 2.208456771071811708e+00
0.000000000000000000e+00 -5.041241618217748404e+07 3.368044116182717516e+03 4.604583583649342060e+00 4.623795814484413569e+00 9.097150853852903341e-01
0.000000000000000000e+00 -4.908401512044720352e+07 3.568090195250915258e+03 4.645303075697395201e+00 4.236810330380759382e+00 7.692561570419814698e-01
0.000000000000000000e+00 -4.841942655498997122e+07 3.578537250615686389e+03 4.702127460029746686e+00 4.034071985678989058e+00 3.617417165647024424e-01
0.000000000000000000e+00 -4.786023475522518903e+07 3.074516222490884957e+03 2.526147011301834056e+00 4.613799830981703209e+00 7.851314795920644185e-01
0.000000000000000000e+00 -4.745349453498969972e+07 3.962201745682929868e+03 4.675144803265686377e+00 4.725892779952170386e+00 3.838215921973789690e+00
0.000000000000000000e+00 -4.727340687168054283e+07 3.978081398994182564e+03 2.675264034920732836e+00 4.644265823980232355e+00 4.121086990769635250e+00
0.000000000000000000e+00 -4.597649893237922341e+07 3.307980988200313732e+03 2.586208382275266171e+00 4.395676331023416594e+00 1.152768944223056646e+00
0.000000000000000000e+00 -4.438584075684613734e+07 3.746566939192059181e+03 3.737606937266133134e+00 4.296781676689928275e+00 2.341435703019983272e+00
0.000000000000000000e+00 -4.391862162114597857e+07 3.459281414861166013e+03 5.043682500203536812e+00 4.027296295108762969e+00 1.626152456745733055e-01
0.000000000000000000e+00 -4.254887754862243682e+07 3.695793920977870584e+03 3.457102791597092217e+00 3.686212214749544636e+00 3.301015175293053883e-01
0.000000000000000000e+00 -4.244414545077823848e+07 3.518442866671722186e+03 4.097529278808955233e+00 4.330989884641461174e+00 1.347415050462803965e+00
0.000000000000000000e+00 -4.208224603089503944e+07 3.288940823711019220e+03 4.778339090156570990e+00 4.273560405037318155e+00 2.976147028335796030e-01
0.000000000000000000e+00 -4.172206050528687239e+07 3.241575098702014657e+03 4.415625409450999683e+00 4.787512562209434108e+00 1.314985924671733253e+00
0.000000000000000000e+00 -4.168160926726064831e+07 3.260198852653954418e+03 4.464690551568264887e+00 4.716810794569284759e+00 1.220412847676110690e+00
0.000000000000000000e+00 -4.150965311253412813e+07 3.046499347974931879e+03 3.658226971282612094e+00 4.920244465125314548e+00 1.133312862718675706e+00
0.000000000000000000e+00 -4.090501454308056831e+07 3.947905372380135759e+03 3.886802027782455315e+00 3.537247634457257650e+00 7.679011042516331598e-01
0.000000000000000000e+00 -3.997049032182306051e+07 3.760585576044185473e+03 4.105144352329832103e+00 4.977518802426311950e+00 4.664679616741035595e+00
0.000000000000000000e+00 -3.856346096166770905e+07 3.883057981272394500e+03 5.064818109813352009e+00 3.801710771841585235e+00 1.292195821899980723e+00
0.000000000000000000e+00 -3.841207687011677772e+07 3.288090612428974055e+03 2.739729801338085302e+00 4.700812471071914800e+00 2.586916116237446772e+00
0.000000000000000000e+00 -3.839668139015821368e+07 2.821858821618247021e+03 3.410625297891336949e+00 4.855897400212762172e+00 3.322158957106735588e-01
0.000000000000000000e+00 -3.827954217924628407e+07 3.989453852170815935e+03 3.584557166185633026e+00 4.352442399805740436e+00 4.059608074241007003e+00
0.000000000000000000e+00 -3.760182192743958533e+07 2.965735088889239705e+03 3.786293752814640534e+00 4.613526824014025252e+00 3.930552620256666518e-01
0.000000000000000000e+00 -3.759798543504379690e+07 2.980258888261589618e+03 5.392061194213930264e+00 4.624398466970637500e+00 3.229747032476126822e-01
0.000000000000000000e+00 -3.752707855515483022e+07 3.912344905958028903e+03 2.584660593969266174e+00 3.698414542719371756e+00 1.412741267507423570e+00
0.000000000000000000e+00 -3.716137535318955034e+07 3.120739636623816295e+03 2.853581584015543626e+00 4.393540684224795712e+00 9.594662583966007130e-01
0.000000000000000000e+00 -3.681626596717330068e+07 3.375191167423770821e+03 3.507482251438737819e+00 4.506436157817467425e+00 2.069964978295581570e+00
0.000000000000000000e+00 -3.667604772717931867e+07 3.146355567872469237e+03 3.107232594722122876e+00 4.130369590645096345e+00 2.714982560430773129e-01
0.000000000000000000e+00 -3.634696612509943545e+07 3.567054535450557523e+03 3.754621549961038696e+00 4.619534552754941181e+00 3.187768317276378660e+00
0.000000000000000000e+00 -3.628721925029898435e+07 3.487493191667196697e+03 4.154999492557733376e+00 4.112521281504830206e+00 1.052972990802834463e+00
0.000000000000000000e+00 -3.592140807063986361e+07 3.517858488936948561e+03 5.096198966709064138e+00 4.000700918089640901e+00 7.565379837972574517e-01
0.000000000000000000e+00 -3.585760574619559944e+07 3.639597907015453075e+03 5.310929938014364637e+00 3.539550916080678622e+00 5.523086490440420881e-02
0.000000000000000000e+00 -3.511460121007885039e+07 3.765554062407868059e+03 3.162535443935808210e+00 3.843483558406930012e+00 1.780325248460955523e+00
0.000000000000000000e+00 -3.478563661862573773e+07 3.544497856239293469e+03 5.416748067506810038e+00 4.633524482585691828e+00 2.507491144309592634e+00
0.000000000000000000e+00 -3.451817766499798745e+07 3.645270830034608935e+03 4.365945016787311062e+00 4.417202314332681290e+00 2.654151177817496876e+00
0.000000000000000000e+00 -3.322432234500024840e+07 2.993323456031280784e+03 3.127906575277815460e+00 4.315873372559012822e+00 4.824906116295507585e-01
0.000000000000000000e+00 -3.276949442132904381e+07 2.987772528612139467e+03 2.550314363950516139e+00 4.583749179817699471e+00 1.535432959704281508e+00
0.000000000000000000e+00 -3.265831298432531208e+07 3.655731495966579587e+03 4.386301526867267597e+00 4.247062982908842876e+00 2.360032062866439073e+00
0.000000000000000000e+00 -3.221587764739033952e+07 3.398351021860780747e+03 5.451170979309416964e+00 3.806549167902711250e+00 1.840525095521727827e-01
0.000000000000000000e+00 -3.202138828174256161e+07 3.396875539736303836e+03 5.411696883520267676e+00 4.214102379127744769e+00 1.155683643875901723e+00
0.000000000000000000e+00 -3.176819073985198140e+07 3.533408814515529230e+03 4.802194359444465377e+00 4.839478414516096727e+00 3.361048899261591671e+00
0.000000000000000000e+00 -3.123506115205083415e+07 3.388323538036569062e+03 3.156933664809948858e+00 3.657590636324709266e+00 1.851653454962509660e-01
0.000000000000000000e+00 -3.106110045790631324e+07 3.158661455942138673e+03 5.410358531325485387e+00 4.406193335289358082e+00 8.232202686002637604e-01
0.000000000000000000e+00 -3.045354713565905020e+07 2.925930684283763185e+03 2.754810519137669278e+00 4.773827515204658312e+00 1.767401819791962314e+00
0.000000000000000000e+00 -3.033058724829012901e+07 3.148999462309689989e+03 2.969630431193291731e+00 4.798282428367997454e+00 2.794277121316771861e+00
0.000000000000000000e+00 -2.915471505970133469e+07 3.097323419502183242e+03 4.533862963032682103e+00 4.402949575030047136e+00 8.112565031803042892e-01
0.000000000000000000e+00 -2.914292794514154643e+07 3.250578784495850414e+03 2.854058674143287178e+00 4.085678926106918851e+00 1.360986780246761230e+00
0.000000000000000000e+00 -2.892199837336048111e+07 3.385693957388463332e+03 3.144156077970174046e+00 4.342096389778868470e+00 2.730366354145560059e+00
0.000000000000000000e+00 -2.874721972211602330e+07 3.648144435043730937e+03 4.271088297264470590e+00 4.569832770578474701e+00 3.828343406909655577e+00
0.000000000000000000e+00 -2.868582764008720219e+07 3.977841442629567155e+03 3.560851532799693686e+00 3.980751024068122756e+00 3.756478522225159100e+00
0.000000000000000000e+00 -2.868196942600637302e+07 3.333652734632978536e+03 4.378362741318774454e+00 3.785096194837051176e+00 2.360526503569471135e-01
0.000000000000000000e+00 -2.861866273976430669e+07 2.869244977024521177e+03 5.397190083304831631e+00 4.870838392714279763e+00 1.037271247015851383e+00
0.000000000000000000e+00 -2.788521015414423868e+07 3.638216304085943193e+03 3.299818422972474963e+00 4.267211755815488061e+00 3.688849950445610482e+00
0.000000000000000000e+00 -2.786050328487706557e+07 3.547856836470102735e+03 4.300645216008625482e+00 3.620044747112593608e+00 5.745809178336852563e-01
0.000000000000000000e+00 -2.780430918097456172e+07 3.099983676215274500e+03 3.779635029012566871e+00 4.980331684184213792e+00 2.488601237645156505e+00
