weight logl Teff logg R Av
0.000000000000000000e+00 -1.419639960423687994e+08 9.635449954337816925e-01 6.850321975119111340e-02 9.174755075984997177e-01 1.530737287508221467e-02
0.000000000000000000e+00 -1.250782762878942788e+08 9.561084337129336364e-01 3.908724921696375976e-01 8.931830895738366305e-01 3.691193916645285622e-02
0.000000000000000000e+00 -1.237347575494434237e+08 9.549209748150383481e-01 3.798710632443632607e-01 9.765604889420026469e-01 2.531372666848576980e-01
0.000000000000000000e+00 -1.191481491238816977e+08 8.306727074675188671e-01 6.092693981658091618e-01 9.493606200421503827e-01 1.615681510445887703e-02
0.000000000000000000e+00 -1.167297239898308665e+08 9.738431137176660757e-01 8.607830109298537646e-01 9.566138825516591337e-01 2.107102975102254083e-01
0.000000000000000000e+00 -1.098508842254834175e+08 9.957180593494189269e-01 2.983596951788751728e-01 9.454225962740071543e-01 2.980165222414772330e-01
0.000000000000000000e+00 -1.058963186557152569e+08 9.897507118277546478e-01 4.176078094243431682e-01 9.883315582868981153e-01 4.331267212412992507e-01
0.000000000000000000e+00 -1.049029693445929736e+08 9.502603272951459790e-01 5.652663136303283098e-01 9.813241898430429266e-01 3.352059710002149862e-01
0.000000000000000000e+00 -1.001695255519264489e+08 7.594900268217408268e-01 1.199548752918926375e-01 9.846957922793018181e-01 1.660245438649003979e-01
0.000000000000000000e+00 -9.942301181243084371e+07 8.917191023412013307e-01 3.397578231922837588e-02 9.090212584696119036e-01 1.172803635390352595e-01
0.000000000000000000e+00 -9.886076579052484035e+07 8.994591328758937410e-01 4.797717788935240701e-01 8.905084433636630825e-01 8.537917557940255531e-02
0.000000000000000000e+00 -9.116796794665174186e+07 9.131591298831356340e-01 3.940189101384294901e-01 8.652451025610632396e-01 9.035424157303550974e-02
0.000000000000000000e+00 -9.007228123259635270e+07 8.076703398324993621e-01 2.749753618439260139e-01 9.866657032506633840e-01 2.902486723445447669e-01
0.000000000000000000e+00 -8.228327888484607637e+07 7.073147424714796294e-01 3.232549659369517991e-01 9.156156017413397130e-01 1.038729895645196244e-02
0.000000000000000000e+00 -8.109021821935145557e+07 8.379534074849094294e-01 5.386362305258666217e-01 9.668697453947632248e-01 2.833785523427438946e-01
0.000000000000000000e+00 -8.058427025340116024e+07 7.860365721047281040e-01 8.937703561138828912e-01 9.431142107516899964e-01 1.243535467127468985e-01
0.000000000000000000e+00 -7.825568639578296244e+07 7.686149658495240455e-01 5.388030927633458145e-02 9.463775736562813901e-01 2.412502823137944175e-01
0.000000000000000000e+00 -7.590893692341698706e+07 9.472188227683455697e-01 2.512170088934825296e-01 8.064843937412083941e-01 7.726138828981798934e-02
0.000000000000000000e+00 -7.243209310387046635e+07 9.717693191427646537e-01 1.180682189968054185e-01 8.474182304311320690e-01 2.468885227911334912e-01
0.000000000000000000e+00 -7.183585813619019091e+07 9.381544049255131634e-01 3.085116326149619503e-01 8.463614015612537234e-01 2.219707240645205637e-01
0.000000000000000000e+00 -6.896885095029227436e+07 9.268551225478220967e-01 5.131774833586992823e-01 8.992128621763935126e-01 3.619338420100605136e-01
0.000000000000000000e+00 -6.745272178773988783e+07 9.981598646092983973e-01 8.149329235601204813e-01 8.507535039411527888e-01 2.940566209638629802e-01
0.000000000000000000e+00 -6.709635212086915225e+07 8.109985847034940631e-01 7.015199712352208072e-01 9.617847722137917721e-01 3.005339755043948680e-01
0.000000000000000000e+00 -6.704639278789804876e+07 8.427320012201745536e-01 4.847814228468153575e-01 9.835137436448947446e-01 4.779258293368535693e-01
0.000000000000000000e+00 -6.704279881822677702e+07 9.384184897225663624e-01 1.801654586401265634e-01 9.223462290157850019e-01 5.027606799386393766e-01
0.000000000000000000e+00 -6.685810790110278130e+07 9.467426108845055088e-01 4.954388324803632448e-01 9.848884182043294855e-01 6.751791004526805917e-01
0.000000000000000000e+00 -6.649986238296196610e+07 9.171636235466100739e-01 2.409904337095594151e-01 9.855067634528329457e-01 6.795807348222033806e-01
0.000000000000000000e+00 -6.303190369147040695e+07 9.856648156888608847e-01 3.554426656362676962e-01 9.331502202841722715e-01 6.431260555775086818e-01
0.000000000000000000e+00 -5.879822666985484958e+07 9.746284877243703848e-01 8.995463697520167390e-02 7.546858992663356691e-01 9.431788095468895960e-02
0.000000000000000000e+00 -5.830093992968335003e+07 8.316628509967755045e-01 2.505282619124803434e-01 8.082716999900534383e-01 8.696507842698464330e-02
0.000000000000000000e+00 -5.753487702367865294e+07 9.736328391938456894e-01 9.165900749374422674e-01 8.827393334059935315e-01 4.086152828204574483e-01
0.000000000000000000e+00 -5.741131641501694918e+07 8.553541209747880236e-01 4.027899332478834804e-02 9.461933102706127086e-01 5.769497359299985417e-01
0.000000000000000000e+00 -5.736213907121063769e+07 9.226992463503801423e-01 6.320607296182589874e-02 9.356965818452748218e-01 6.328072448962849261e-01
0.000000000000000000e+00 -5.685179650187091529e+07 4.752034461656725606e-01 1.612720724242192594e-01 9.807236371716868684e-01 7.095989686333170621e-02
0.000000000000000000e+00 -5.653673875619271398e+07 8.506896274423908499e-01 7.034652268301213596e-01 9.899179507044045812e-01 5.381827852314469141e-01
0.000000000000000000e+00 -5.502913738808431476e+07 5.455938865606942967e-01 1.604368714177203392e-01 8.999469036153081580e-01 4.399514021444117517e-03
0.000000000000000000e+00 -5.419722200927098095e+07 5.928915505698350019e-01 2.484144099654684856e-01 9.096223655250410545e-01 7.145804298929947507e-02
0.000000000000000000e+00 -5.326586775796418637e+07 7.569966457435050033e-01 9.533239982286885184e-01 9.551269105980356722e-01 3.122664961912877679e-01
0.000000000000000000e+00 -5.320954496609068662e+07 7.715426755148758753e-01 1.834843493260995828e-02 8.929796496137012429e-01 3.593730832059019997e-01
0.000000000000000000e+00 -5.155951163483288884e+07 9.483248743486406562e-01 7.779485280423075189e-01 8.199242793451626543e-01 2.919086255385191508e-01
0.000000000000000000e+00 -5.117043066392406076e+07 8.253862596303899180e-01 2.241861940437813727e-01 8.921284954676630408e-01 4.416913542143623417e-01
0.000000000000000000e+00 -5.041241618217748404e+07 6.840220580913586312e-01 7.015278612164475014e-01 9.232236356090639529e-01 1.819430170770580668e-01
0.000000000000000000e+00 -4.908401512044720352e+07 7.840450976254575988e-01 7.151010252324648819e-01 8.442470062001550257e-01 1.538512314083962940e-01
