WL(nm)	transmission 
2001.0	0.000000000
2002.0	0.000022307
2003.0	0.000025844
2004.0	0.000031088
2005.0	0.000032941
2006.0	0.000048014
2007.0	0.000071282
2008.0	0.000070729
2009.0	0.000044379
2010.0	0.000040584
2011.0	0.000045423
2012.0	0.000160114
2013.0	0.000254282
2014.0	0.000188853
2015.0	0.000114926
2016.0	0.000118649
2017.0	0.000256761
2018.0	0.000486975
2019.0	0.000691734
2020.0	0.000847842
2021.0	0.001128450
2022.0	0.001182013
2023.0	0.001594046
2024.0	0.002224433
2025.0	0.002384796
2026.0	0.002894201
2027.0	0.003911129
2028.0	0.005481217
2029.0	0.007710033
2030.0	0.009043748
2031.0	0.010824968
2032.0	0.014751325
2033.0	0.018768821
2034.0	0.023777552
2035.0	0.030595792
2036.0	0.038173303
2037.0	0.047127429
2038.0	0.056461133
2039.0	0.065795578
2040.0	0.077407479
2041.0	0.091349751
2042.0	0.110402174
2043.0	0.131619215
2044.0	0.154379129
2045.0	0.179740638
2046.0	0.210596904
2047.0	0.245286390
2048.0	0.285097480
2049.0	0.328774840
2050.0	0.378521353
2051.0	0.429750323
2052.0	0.485434711
2053.0	0.539353192
2054.0	0.593874812
2055.0	0.644056439
2056.0	0.689647615
2057.0	0.728413641
2058.0	0.760600030
2059.0	0.784361005
2060.0	0.802196324
2061.0	0.814920068
2062.0	0.822458267
2063.0	0.824735641
2064.0	0.824720025
2065.0	0.823628962
2066.0	0.821503878
2067.0	0.821296513
2068.0	0.819701731
2069.0	0.819710255
2070.0	0.821021259
2071.0	0.822905838
2072.0	0.826321661
2073.0	0.830426574
2074.0	0.835570097
2075.0	0.841592133
2076.0	0.848293960
2077.0	0.855168998
2078.0	0.862467587
2079.0	0.869868994
2080.0	0.877447128
2081.0	0.885100543
2082.0	0.893177092
2083.0	0.899397969
2084.0	0.904650271
2085.0	0.909484625
2086.0	0.914093256
2087.0	0.918631375
2088.0	0.921963453
2089.0	0.925000489
2090.0	0.927508056
2091.0	0.928651094
2092.0	0.929899871
2093.0	0.931050837
2094.0	0.930339038
2095.0	0.930323482
2096.0	0.931416392
2097.0	0.932394981
2098.0	0.931628585
2099.0	0.931968033
2100.0	0.933449447
2101.0	0.933008969
2102.0	0.934098125
2103.0	0.935327947
2104.0	0.935526252
2105.0	0.936887622
2106.0	0.937494814
2107.0	0.937338352
2108.0	0.938092530
2109.0	0.938880324
2110.0	0.940666139
2111.0	0.940407276
2112.0	0.940855265
2113.0	0.940212488
2114.0	0.938738465
2115.0	0.937438548
2116.0	0.935956180
2117.0	0.933370471
2118.0	0.930144072
2119.0	0.927182317
2120.0	0.923926055
2121.0	0.919535398
2122.0	0.914934516
2123.0	0.910403371
2124.0	0.905197859
2125.0	0.900967002
2126.0	0.896562040
2127.0	0.894195259
2128.0	0.890228748
2129.0	0.887506962
2130.0	0.886613905
2131.0	0.885846674
2132.0	0.887296855
2133.0	0.889944494
2134.0	0.894539297
2135.0	0.899048090
2136.0	0.905199826
2137.0	0.912916064
2138.0	0.920661151
2139.0	0.927443624
2140.0	0.933867276
2141.0	0.938256860
2142.0	0.939026713
2143.0	0.936499178
2144.0	0.928946614
2145.0	0.912839055
2146.0	0.887162566
2147.0	0.858582675
2148.0	0.817411721
2149.0	0.770229161
2150.0	0.716151536
2151.0	0.658944786
2152.0	0.598140419
2153.0	0.538353801
2154.0	0.478539824
2155.0	0.420891464
2156.0	0.366446704
2157.0	0.319773316
2158.0	0.276424795
2159.0	0.238051653
2160.0	0.205135986
2161.0	0.174465314
2162.0	0.147291020
2163.0	0.125954688
2164.0	0.109245382
2165.0	0.093852542
2166.0	0.080794126
2167.0	0.070079736
2168.0	0.059820369
2169.0	0.052933559
2170.0	0.045603793
2171.0	0.039418377
2172.0	0.033386149
2173.0	0.029044637
2174.0	0.025225436
2175.0	0.022710998
2176.0	0.020973431
2177.0	0.017532045
2178.0	0.014695195
2179.0	0.013700548
2180.0	0.013176265
2181.0	0.013161904
2182.0	0.012282235
2183.0	0.009125093
2184.0	0.006911557
2185.0	0.008252900
2186.0	0.009197168
2187.0	0.006804507
2188.0	0.006296696
2189.0	0.005142902
2190.0	0.004222476
2191.0	0.004644315
2192.0	0.004543594
2193.0	0.003202787
2194.0	0.002673074
2195.0	0.002495199
2196.0	0.002299597
2197.0	0.002092908
2198.0	0.001952604
2199.0	0.001863245
2200.0	0.001692446
2201.0	0.001519789
2202.0	0.001404688
2203.0	0.001327896
2204.0	0.001182411
2205.0	0.001125495
2206.0	0.001107966
2207.0	0.001080284
2208.0	0.001011683
2209.0	0.001015992
2210.0	0.000955325
2211.0	0.000859013
2212.0	0.000785523
2213.0	0.000739886
2214.0	0.000685286
2215.0	0.000651261
2216.0	0.000609227
2217.0	0.000544853
2218.0	0.000451789
2219.0	0.000411477
2220.0	0.000424005
2221.0	0.000465306
2222.0	0.000513184
2223.0	0.000531759
2224.0	0.000481446
2225.0	0.000425417
2226.0	0.000349856
2227.0	0.000320070
2228.0	0.000330603
2229.0	0.000323953
2230.0	0.000286985
2231.0	0.000284718
2232.0	0.000269140
2233.0	0.000242229
2234.0	0.000223147
2235.0	0.000254204
2236.0	0.000284717
2237.0	0.000263058
2238.0	0.000233256
2239.0	0.000195722
2240.0	0.000151484
2241.0	0.000134210
2242.0	0.000143422
2243.0	0.000183217
2244.0	0.000214977
2245.0	0.000205983
2246.0	0.000203069
2247.0	0.000210611
2248.0	0.000172620
2249.0	0.000135056
2250.0	0.000137853
2251.0	0.000137280
2252.0	0.000127774
2253.0	0.000114815
2254.0	0.000121797
2255.0	0.000138244
2256.0	0.000118585
2257.0	0.000083598
2258.0	0.000073267
2259.0	0.000084606
2260.0	0.000087629
2261.0	0.000097364
2262.0	0.000103367
2263.0	0.000113893
2264.0	0.000137056
2265.0	0.000130692
2266.0	0.000119438
2267.0	0.000109806
2268.0	0.000098018
2269.0	0.000073329
2270.0	0.000061404
2271.0	0.000038007
2272.0	0.000015469
2273.0	0.000037486
2274.0	0.000071907
2275.0	0.000073244
2276.0	0.000091083
2277.0	0.000173096
2278.0	0.000171279
2279.0	0.000109496
2280.0	0.000000000
